study_hours,attendance,assignments_completed,internal_marks,sleep_hours,final_marks
2,58,3,10,5,43
3,62,4,12,6,46
4,68,5,14,6,60
5,72,6,16,6,63
6,78,7,18,7,68
7,82,8,20,7,76
8,88,9,22,7,88
9,92,10,24,8,88
1,50,2,8,5,36
2,55,3,9,5,44
3,60,4,11,6,51
4,65,5,13,6,55
5,70,6,15,6,59
6,75,7,17,7,65
7,80,8,19,7,76
8,85,9,21,7,84
9,90,10,23,8,86
10,95,10,25,8,96
2,64,4,11,5,46
3,69,5,13,6,50
4,74,6,15,6,62
5,79,7,17,6,67
6,84,8,19,7,70
7,89,9,21,7,80
8,94,10,23,8,85
1,52,2,7,5,37
2,57,3,9,5,40
3,63,4,10,6,48
4,67,5,12,6,47
5,73,6,14,6,64
6,77,7,16,7,70
7,83,8,18,7,76
8,87,9,20,7,77
9,91,10,22,8,89
10,96,10,25,8,95
2,61,3,10,5,46
3,66,4,12,6,47
4,71,5,14,6,56
5,76,6,16,6,61
6,81,7,18,7,72
7,86,8,20,7,77
8,90,9,22,7,88
9,93,10,24,8,93
1,48,1,6,5,26
2,53,2,8,5,34
3,59,3,10,6,47
4,64,4,12,6,47
5,69,5,14,6,62
6,74,6,16,7,69
7,79,7,18,7,77
